Prev,Curr.
[[ 891  598],[[ 893  589]
[ 919  602],[ 903  600]
[ 955  603],[ 937  602]
[ 989  603],[ 972  602]
[1022  600],[1007  602]
[1056  599],[1041  599]
[1088  597],[1074  598]
[1120  596],[1107  597]
[1151  594],[1137  596]
[1179  593],[1167  594]
[1202  589],[1193  591]
[1186  582],[1194  585]
[1169  574],[1176  578]
[1145  566],[1158  570]
[1117  560],[1129  564]
[1088  550],[1102  554]
[1060  541],[1073  545]
[1030  530],[1044  535]
[1003  521],[1016  525]
[ 974  521],[ 987  520]
[ 944  521],[ 957  520]
[ 915  524],[ 929  521]
[ 885  526],[ 899  524]
[ 858  529],[ 869  527]
[ 865  547],[ 861  538]
[ 873  564],[ 869  557]
[ 882  581],[ 878  573]
[ 888  592],[ 886  587]
[ 893  599]],[ 894  596]
,[ 895  581]]
,[ 895  581]]
