PREV.,CURR.
[[1016  274],[[ 993  284]
[ 935  307],[ 912  308]
[ 911  324],[ 900  329]
[ 916  329],[ 918  331]
[ 916  334],[ 915  336]
[ 928  340],[ 933  342]
[ 944  348],[ 948  350]
[ 960  356],[ 965  358]
[ 977  362],[ 982  363]
[ 995  368],[1000  370]
[1013  374],[1017  376]
[1030  382],[1035  383]
[1048  389],[1052  391]
[1066  397],[1070  399]
[1085  405],[1089  406]
[1104  411],[1109  411]
[1123  418],[1127  421]
[1140  427],[1146  428]
[1161  434],[1166  436]
[1180  442],[1186  445]
[1200  451],[1205  453]
[1219  459],[1224  461]
[1239  467],[1244  468]
[1260  471],[1262  470]
[1267  467],[1267  466]
[1273  465],[1274  463]
[1279  459],[1278  458]
[1270  452],[1264  449]
[1250  445],[1244  442]
[1230  437],[1227  434]
[1214  429],[1206  426]
[1195  423],[1189  420]
[1177  415],[1171  413]
[1159  407],[1153  404]
[1140  400],[1135  396]
[1122  392],[1117  389]
[1105  386],[1101  383]
[1088  379],[1082  377]
[1070  371],[1065  370]
[1054  365],[1048  364]
[1035  357],[1031  356]
[1019  351],[1014  350]
[1003  345],[ 998  343]
[ 987  339],[ 981  339]
[ 971  334],[ 966  331]
[ 954  326],[ 950  326]
[ 941  327],[ 939  329]
[ 932  331],[ 929  331]
[ 920  332],[ 917  333]
[ 906  331],[ 908  330]
[ 911  321],[ 911  323]
[ 913  328],[ 915  328]
[ 919  332],[ 915  332]
[ 923  337],[ 927  338]
[ 938  343],[ 943  346]
[ 954  353],[ 958  354]
[ 971  359],[ 975  360]
[ 988  364],[ 993  366]
[1005  370],[1010  373]
[1023  377],[1028  379]
[1041  385],[1045  387]
[1060  393],[1063  395]
[1077  400],[1082  401]
[1096  407],[1100  409]
[1115  415],[1120  415]
[1133  422],[1139  424]
[1152  429],[1157  432]
[1172  438],[1177  440]
[1192  446],[1197  448]
[1211  455],[1217  457]
[1231  464],[1236  466]
[1251  470],[1257  470]
[1265  467],[1266  466]
[1271  464],[1272  462]
[1276  460],[1279  459]
[1275  453],[1272  451]
[1259  446],[1253  445]
[1239  439],[1235  436]
[1220  431],[1216  428]
[1202  424],[1197  422]
[1183  416],[1178  414]
[1165  408],[1160  406]
[1147  401],[1142  399]
[1128  394],[1125  392]
[1113  387],[1107  384]
[1094  380],[1089  378]
[1077  372],[1073  372]
[1060  367],[1040  365]
[1041  360],[1037  358]
[1026  352],[1022  350]
[1010  346],[1005  345]
[ 993  340],[ 989  340]
[ 977  335],[ 972  333]
[ 962  327],[ 957  326]
[ 946  325],[ 943  327]
[ 935  329],[ 920  330]
[ 924  331],[ 921  331]
[ 913  332],[ 908  331]
[ 911  329],[ 909  321]
[ 911  309],[ 920  307]
[ 981  287]],[1003  279]]
