Prev.,Curr.
[[ 900  595],[[ 908  520]
[ 906  606],[ 894  606]
[ 939  608],[ 932  608]
[ 978  607],[ 978  607]
[1016  604],[1026  602]
[1052  600],[1068  599]
[1088  599],[1113  596]
[1122  596],[1133  589]
[1133  589],[1115  578]
[1116  579],[1102  564]
[1105  569],[1088  542]
[1094  556],[1059  526]
[1082  534],[1020  525]
[1054  526],[ 978  524]
[1021  525],[ 937  523]
[ 988  524],[ 896  525]
[ 954  524],[ 856  526]
[ 920  523],[ 866  551]
[ 886  524],[ 878  577]
[ 856  527],[ 888  592]
[ 864  550],[ 903  603]
[ 873  570],[ 898  606]]
[ 883  585],
[ 893  596],
[ 905  607],
[ 897  605]],
