Prev,Curr.
[[ 891  598],[ 783  500]
[ 919  602],[ 833  560]
[ 955  603],[ 866  577]
[ 989  603],[ 885  593]
[1022  600],[ 902  599]
[1056  599],[ 910  567]
[1088  597],[ 922  537]
[1120  596],[ 923  517]
[1151  594],[ 922  499]
[1179  593],[ 966  467]
[1202  589],[ 920  455]
[1186  582],[ 900 458]
[1169  574],[ 877  462]
[1145  566],[ 866  427]
[1117  560],[ 821 400]
[1088  550],[ 800  387]
[1060  541],[ 777  357]
[1030  530],[ 779  327]
[1003  521],[ 800 297]
[ 974  521],[ 467  207]
[ 944  521],[ 866  577]
[ 915  524],[ 866  577]
[ 885  526],[ 866  577]
[ 858  529],[ 866  577]
[ 865  547],[ 866  577]
[ 873  564],[ 866  577]
[ 882  581],[ 866  577]
[ 888  592],[ 866  577]
[ 893  599]],[ 866  577]
[ 895  581]],[ 866  577]
