Prev.,Curr.
[[ 908  533],[[ 908  550]
[ 896  606],[ 905  605]
[ 935  608],[ 941  610]
[ 981  606],[ 982  607]
[1026  602],[1021  602]
[1071  599],[1059  600]
[1113  596],[1096  597]
[1134  589],[1131  595]
[1115  578],[1128  585]
[1101  565],[1128  577]
[1087  542],[1142  569]
[1059  527],[1147  558]
[1020  525],[1129  538]
[ 978  524],[1099  532]
[ 936  523],[1072  536]
[ 895  525],[1060  543]
[ 856  527],[1036  536]
[ 866  552],[1001  535]
[ 879  578],[ 972  542]
[ 888  592],[ 940  548]
[ 903  605],[ 907  557]
[ 899  601]],[ 876  567]
,[ 882  581]
,[ 892  594]
,[ 905  605]
,[ 905  584]]
